1;Bradley Charles Cooper born January 5 1975 is an American actor and filmmaker He is the recipient of various accolades including a British Academy Film Award and two Grammy Awards in addition to nominations for nine Academy Awards six Golden Globe Awards and a Tony Award Cooper appeared on the Forbes Celebrity 100 three times and on Times list of the 100 most influential people in the world in 2015 His films have grossed $11 billion worldwide and he has placed four times in annual rankings of the worlds highest-paid actors
2;Cooper enrolled in the MFA program at the Actors Studio in 2000 after beginning his career in 1999 with a guest role in the television series Sex and the City He made his film debut in the comedy Wet Hot American Summer 2001 and gained some recognition as Will Tippin in the spy-action television show Alias 2001–2006 After his role in the show was demoted he began to have career doubts but gained some recognition with a supporting part in the comedy film Wedding Crashers 2005 and had his breakthrough in The Hangover 2009 a critically and commercially successful comedy that spawned two sequels in 2011 and 2013 Coopers portrayal of a struggling writer in the thriller Limitless 2011 and a rookie police officer in the crime drama The Place Beyond the Pines 2012 drew further praise from critics
3;Cooper found greater success with the romantic comedy Silver Linings Playbook 2012 the black comedy American Hustle 2013 and the war biopic American Sniper 2014 which he also produced For his work in these films he was nominated for four Academy Awards becoming the tenth actor to receive an Oscar nomination in three consecutive years In 2014 he portrayed Joseph Merrick in a Broadway revival of The Elephant Man garnering a nomination for the Tony Award for Best Actor in a Play and began voicing Rocket in the Marvel Cinematic Universe In 2018 Cooper produced wrote directed and starred in a remake of the musical romance A Star Is Born He earned three Oscar nominations for the film as well as a BAFTA Award and two Grammys for his contributions to its US Billboard 200 number one soundtrack and its chart-topping lead single Shallow He gained Academy Award nominations for producing Joker 2019 and Nightmare Alley 2021
4;Labeled a sex symbol by the media Cooper was named People magazines Sexiest Man Alive in 2011 He supports several charities that help fight cancer Cooper was briefly married to actress Jennifer Esposito and has a daughter from his relationship with model Irina Shayk
5;Cooper was born on January 5  1975  in Abington Township  near  Philadelphia  and grew up in the nearby communities of Jenkintown and Rydal His mother  Gloria née Campano  worked for the local NBC affiliate His father  Charles Cooper  worked as a stockbroker for Merrill Lynch Coopers father was of Irish descent  while his mother is of Italian ancestry from Abruzzo and Naples He has an older sister  Holly He had cholesteatoma in his ear soon after his birth  and punctured his eardrum when he started diving at an early age
6;Describing himself as a child Cooper has said: I never lived the life of Oh youre so good-looking People thought I was a girl when I was little because I looked like a girl maybe because my mother would keep my hair really long He excelled at basketball and enjoyed cooking: I used to have buddies come over after kindergarten and Id cook them food I prided myself in taking whatever was in the fridge and turning it into lasagna He initially wanted to attend Valley Forge Military Academy and move to Japan to become a ninja At an early age his father introduced him to films like The Elephant Man which inspired him to be an actor Coming from a family of non-actors Cooper says that his parents initially wanted him to pursue a career in finance and was against acting but they eventually changed their perceptions when they saw Cooper play the part of Joseph Merrick in an excerpt from the play The Elephant Man
7;While attending Germantown Academy he worked at the Philadelphia Daily News He says that in school he was neither the smartest person nor the coolest kid and really didnt have anything going on! After graduating from high school in 1993 Cooper attended Villanova University for one year before transferring to Georgetown University Cooper graduated with honors from Georgetown in 1997 with a Bachelor of Arts degree in English He was a member of the Georgetown Hoyas rowing team and acted with Nomadic Theatre While at Georgetown Cooper became fluent in French and spent six months as an exchange student in Aix-en-Provence France In his television debut Sex and the City in 1999 he made a brief appearance opposite Sarah Jessica Parker Cooper later served as a presenter on the tourism series Globe Trekker 2000 which took him to such places as Peru and Croatia and had a recurring role in the short-lived series The Street
8;Cooper had been interested in a career in diplomacy when he auditioned for the master class graduate degree at the Actors Studio and was selected by James Lipton In 2000 he received a Master of Fine Arts degree in acting from the Actors Studio Drama School at The New School in New York City There he trained with the coach Elizabeth Kemp of whom he says: I was never able to relax in my life before her She advised him on many of his films While studying in New York City Cooper worked as a doorman at the Morgans Hotel and briefly interacted with Robert de Niro and Sean Penn in question-and-answer master class sessions which were later featured episodes of Inside the Actors Studio
9;Cooper missed his MFA graduation ceremony to film Wet Hot American Summer 2001 an ensemble comedy that marked his cinematic debut Taking place at a fictional summer camp in 1981 the film had him play Ben a counselor and the love interest of Michael Ian Blacks character Although the film was critically and commercially unsuccessful it has since developed a cult following Cooper reprised the role in the films prequel Wet Hot American Summer: First Day of Camp 2015 an eight-episode Netflix series
10;In the television series Alias 2001–2006 Cooper achieved some success with the role of Will Tippin a local reporter for a newspaper and the best friend of Jennifer Garners character Sydney Bristow Garner was one of the first people he met in Los Angeles and was in Coopers words very maternal  She wanted to take care of me make sure I was okay all the time A writer for Complex Networks called his character arguably the heart of Season 1 As his screen time began to decrease Cooper grew frustrated Although he would work only three days he requested creator J J Abrams to write his character off the show Shortly after his conversation with Abrams Cooper tore his Achilles tendon while playing basketball During his recovery he considered quitting acting permanently though in 2004 he was cast in Wedding Crashers 2005 During this period he acted in the 2002 psychological thriller Changing Lanes The scenes in which he appeared were edited out of the final cut of the film but are featured on the films DVD and Blu-ray releases Other roles included in Bending All the Rules 2002 the short-lived TV series Miss Match 2003 the television film I Want to Marry Ryan Banks 2004 and the WB series Jack & Bobby 2004–2005
